Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
560000,0.2887902,5.242937,12307.5,1200.0,-91.82999074459076,-91.82999074459076,1.0
570000,0.31125423,5.460082,1177.0,1200.0,-9.443999302387237,-9.443999302387237,1.0
580000,0.5204923,4.6785173,3248.3333333333335,1200.9980825729888,-33.11666544278463,-33.11666544278463,1.0
590000,0.5686282,4.4767556,985.4615384615385,1203.2713850631108,-10.47461468898333,-10.47461468898333,1.0
600000,0.27344516,4.9284635,None,None,None,None,1.0
610000,0.41271934,4.077557,716.0833333333334,1203.9166694925136,-4.980832785367966,-4.980832785367966,1.0
620000,0.42411917,4.5256705,4764.5,1203.153612287252,-48.81499773263931,-48.81499773263931,1.0
630000,0.28468263,4.976317,None,None,None,None,1.0
640000,0.2850484,4.7880225,None,None,None,None,1.0
650000,0.30593935,4.4033985,25996.0,1202.8997482705386,-261.1399954557419,-261.1399954557419,1.0
660000,0.31268477,3.5704675,6386.0,1203.401285343071,-33.61999613046646,-33.61999613046646,1.0
670000,0.28272447,3.9360492,None,None,None,None,1.0
680000,0.29139614,3.5419786,None,None,None,None,1.0
690000,0.2972571,3.3768501,None,None,None,None,1.0
700000,0.2906748,3.3176208,None,None,None,None,1.0
710000,0.28051406,4.3024693,None,None,None,None,1.0
720000,0.30834222,3.7666123,17904.0,1202.901285343071,-179.72999680042267,-179.72999680042267,1.0
730000,0.29658213,3.757122,None,None,None,None,1.0
740000,0.2925206,3.475677,None,None,None,None,1.0
